218,4,-4,38.39466138873159,1
234,8,-9,56.47429420046398,4
247,11,-4,16.267324321954817,1
263,16,0,55.39981265506223,1
288,22,2,10.916394074699367,2
276,19,7,0.7606935992412608,4
235,8,8,54.56204426654675,3
262,16,-12,4.918361570997669,4
258,14,-13,63.44408365742125,3
257,14,-17,95.2817347290199,2
260,15,-18,72.80818559581257,4
268,18,-17,76.43981428224625,1
287,22,-15,9.298411806199317,3
297,24,-11,54.17446389311641,4
296,24,-21,46.26180693747271,1
240,9,-15,43.81942478737463,3
213,3,-13,90.37640724572084,1
198,-1,-13,64.80012054520324,3
191,-3,-16,10.766198598792215,3
197,-1,-17,1.7068244263299768,2
207,1,-17,21.0569575380603,3
178,-10,-10,80.57945891567297,2
